License_ID,Brand_Name,Product_Type,Distributor
85629,#NICEWINE,Wine,RNDC
85629,10SPAN,Wine,RNDC
85629,12 GENERATIONS,Wine,RNDC
85629,12 KNIGHTS,Wine,RNDC
85629,12 WINES OF CHRISTMAS,Wine,RNDC
85629,13 CELSIUS,Wine,RNDC
85629,14 HANDS,Wine,RNDC
85629,1749,Wine,RNDC
85629,181 WINE CELLARS,Wine,RNDC
85629,24 DAYS OF WINE,Wine,RNDC
85629,24 DAYS OF WINE ADVENT,Wine,RNDC
85629,2SONS WINERY,Wine,RNDC
85629,3 BALL,Wine,RNDC
85629,3 BLIND MOOSE,Wine,RNDC
85629,30 DEGREES,Wine,RNDC
85629,30A,Wine,RNDC
85629,337 WINE CELLARS,Wine,RNDC
85629,35 SOUTH,Wine,RNDC
85629,35 SUR,Wine,RNDC
85629,4 FOXES,Wine,RNDC
85629,5 CABERNET SAUVIGNON,Wine,RNDC
85629,5 DRY RED WINES,Wine,RNDC
85629,5 RED WINES,Wine,RNDC
85629,5 SWEET RED WINES,Wine,RNDC
85629,50 ESTATE RANCH,Wine,RNDC
85629,50°,Wine,RNDC
85629,6 DAYS OF WINE HOLIDAY WINE BOX,Wine,RNDC
85629,6 O'CLOCK,Low Alcohol Beverage,RNDC
85629,60 SOULS,Wine,RNDC
85629,7 DEADLY,Wine,RNDC
85629,7 DEADLY ZINS,Wine,RNDC
85629,7 HEAVENLY CHARDS,Wine,RNDC
85629,7 MOONS,Wine,RNDC
85629,719 W,Wine,RNDC
85629,75 WINE COMPANY,Wine,RNDC
85629,A ET P DE VILLAINE,Wine,RNDC
85629,A GIFT FROM HOME,Wine,RNDC
85629,A LITTLE MERRIER THIS YEAR,Wine,RNDC
85629,A NIGHT TO REMEMBER,Wine,RNDC
85629,A PROPER CLARET,Wine,RNDC
85629,A ROYAL TWIST,Wine,RNDC
85629,A SEAWORTHY TALE,Wine,RNDC
85629,A TO Z,Wine,RNDC
85629,ABANDON,Wine,RNDC
85629,ABELE 1757,Wine,RNDC
85629,ABRUPT VINEYARDS,Wine,RNDC
85629,ABSTRACT ART,Wine,RNDC
85629,ACAB,Wine,RNDC
85629,ACCADEMIA,Wine,RNDC
85629,ACES HIGH,Wine,RNDC
85629,ACHAIA CLAUSS,Wine,RNDC
85629,ACHAVAL FERRER,Wine,RNDC
85629,ACORDEON,Wine,RNDC
85629,ACOUSTIC HARMONY,Wine,RNDC
85629,ACQUESI,Wine,RNDC
85629,ACRE & VINE,Wine,RNDC
85629,ACROBAT,Wine,RNDC
85629,ACTUM,Wine,RNDC
85629,ACUARELLO,Wine,RNDC
85629,ADAMS BROTHERS,Wine,RNDC
85629,ADEGA COOP PONTE DA BARCA,Wine,RNDC
85629,ADEREZO,Wine,RNDC
85629,ADOBE CANYON,Wine,RNDC
85629,ADORED,Wine,RNDC
85629,ADORO,Wine,RNDC
85629,ADRIANO RAMOS PINTO,Wine,RNDC
85629,ADUENTUS,Wine,RNDC
85629,ADUNA,Wine,RNDC
85629,AEGERTER,Wine,RNDC
85629,AGOSTINO BRUGO,Wine,RNDC
85629,AGRICOLA LA BOLLINA,Wine,RNDC
85629,AGRICOLA PUNICA,Wine,RNDC
85629,AGRICOLA QUERCIABELLA,Wine,RNDC
85629,AIA DELLA MACINA,Wine,RNDC
85629,AILA,Wine,RNDC
85629,AIR LIFT,Wine,RNDC
85629,AIRES DE AROSA,Wine,RNDC
85629,AIX,Wine,RNDC
85629,ALAIN COCHE BIZOUARD,Wine,RNDC
85629,ALAIN PARET,Wine,RNDC
85629,ALARIS,Wine,RNDC
85629,ALAURA,Wine,RNDC
85629,ALBERT LEBRUN,Wine,RNDC
85629,ALBERT PIC & FILS,Wine,RNDC
85629,ALBERTO CONTI,Wine,RNDC
85629,ALBINEA CANALI,Wine,RNDC
85629,ALBINO ARMANI,Wine,RNDC
85629,ALBIS,Wine,RNDC
85629,ALCANCE,Wine,RNDC
85629,ALCANZA,Wine,RNDC
85629,ALDINO,Wine,RNDC
85629,ALDO MARENCO & FIGLIO,Wine,RNDC
85629,ALESSI,Wine,RNDC
85629,ALEX ELMAN,Wine,RNDC
85629,ALEXIS GEORGE,Wine,RNDC
85629,ALFRED GRATIEN,Wine,RNDC
85629,ALI SOPRA,Wine,RNDC
85629,ALICE WHITE,Wine,RNDC
85629,ALLA FAMIGLIA,Wine,RNDC
85629,ALLENDE,Wine,RNDC
85629,ALLISON COMBS,Wine,RNDC
85629,ALLURE,Wine,RNDC
85629,ALMADEN,Wine,RNDC
85629,ALMIRA,Wine,RNDC
85629,ALPACA,Wine,RNDC
85629,ALQUIER,Wine,RNDC
85629,ALTA LUNA,Wine,RNDC
85629,ALTA MORA,Wine,RNDC
85629,ALTA VIA,Wine,RNDC
85629,ALTA VISTA,Wine,RNDC
85629,ALTA VITA,Wine,RNDC
85629,ALTAMANA,Wine,RNDC
85629,ALTANUTA,Wine,RNDC
85629,ALTEMASI,Wine,RNDC
85629,ALTER EGO DE PALMER,Wine,RNDC
85629,ALTERED DIMENSION,Wine,RNDC
85629,ALTEREGO,Wine,RNDC
85629,ALTO CINCO,Wine,RNDC
85629,ALTO LOS ROMEROS,Wine,RNDC
85629,ALTO VENTO,Wine,RNDC
85629,ALTOSUR,Wine,RNDC
85629,ALTVS,Wine,RNDC
85629,ALURA,Wine,RNDC
85629,ALYSSA,Wine,RNDC
85629,AMA NO TO,Wine,RNDC
85629,AMABUKI,Wine,RNDC
85629,AMADO SUR,Wine,RNDC
85629,AMANCAY,Wine,RNDC
85629,AMAYNA,Wine,RNDC
85629,AMBIGUITY,Wine,RNDC
85629,AMBO,Wine,RNDC
85629,AMBOSCATO,Wine,RNDC
85629,AMBROISE LAPIERRE,Wine,RNDC
85629,AMELIA,Wine,RNDC
85629,AMERICAN PIE,Wine,RNDC
85629,AMERICAN VINTNERS,Wine,RNDC
85629,AMERICAN VINTNERS HAPPY HOLIDAYS,Wine,RNDC
85629,AMIGO PERRO,Wine,RNDC
85629,AMISFIELD,Wine,RNDC
85629,AMISTANI,Wine,RNDC
85629,AMMIRAGLIA,Wine,RNDC
85629,AMOR DE MADRE,Wine,RNDC
85629,AMOR DE MAR,Wine,RNDC
85629,AMSBURY WINERY,Wine,RNDC
85629,AMULET,Wine,RNDC
85629,ANAKOTA,Wine,RNDC
85629,ANCIENT COAST,Wine,RNDC
85629,ANDANTINO,Wine,RNDC
85629,ANDERRA,Wine,RNDC
85629,ANDES PEAKS,Wine,RNDC
85629,ANDRE BRUNEL,Wine,RNDC
85629,ANDRE NEVEU,Wine,RNDC
85629,ANERI,Wine,RNDC
85629,ANEW,Wine,RNDC
85629,ANGEL JUICE,Wine,RNDC
85629,ANGELINE,Wine,RNDC
85629,ANGELO D'ANGELO,Wine,RNDC
85629,ANGOVE FAMILY WINEMAKERS,Wine,RNDC
85629,ANGRY BUNCH,Wine,RNDC
85629,ANIMA UMBRA,Wine,RNDC
85629,ANIMAE,Wine,RNDC
85629,ANIMO,Wine,RNDC
85629,ANNIE'S LANE,Wine,RNDC
85629,ANNUAL ROADTRIP,Wine,RNDC
85629,ANSELMI,Wine,RNDC
85629,ANTANO,Wine,RNDC
85629,ANTERA,Wine,RNDC
85629,ANTERRA,Wine,RNDC
85629,ANTICA NAPA VALLEY,Wine,RNDC
85629,ANTICICLONE,Wine,RNDC
85629,ANTIGAL,Wine,RNDC
85629,ANTIGAL UNO,Wine,RNDC
85629,ANTIGUA,Wine,RNDC
85629,ANTINORI,Wine,RNDC
85629,ANTIQUITOUS,Wine,RNDC
85629,ANTLER ENVY,Wine,RNDC
85629,ANTLER HILL,Wine,RNDC
85629,ANTOINE OLIVIER,Wine,RNDC
85629,ANTU NINQUEN,Wine,RNDC
85629,APARTADO,Wine,RNDC
85629,APOCALYPSE NOW,Wine,RNDC
85629,AQUITANIA,Wine,RNDC
85629,ARA,Wine,RNDC
85629,ARACIEL,Wine,RNDC
85629,ARALENA,Wine,RNDC
85629,ARAUCO,Wine,RNDC
85629,ARAVAIL,Wine,RNDC
85629,ARBOR MIST,Wine,RNDC
85629,ARCH RIVAL WINE CO,Wine,RNDC
85629,ARCHETYPE CA,Wine,RNDC
85629,ARCHIMEDES,Wine,RNDC
85629,ARCHIPEL,Wine,RNDC
85629,ARDAL,Wine,RNDC
85629,ARDORE,Wine,RNDC
85629,ARE YOU GAME,Wine,RNDC
85629,AREYNA,Wine,RNDC
85629,ARGENTA,Wine,RNDC
85629,ARGENTIERA,Wine,RNDC
85629,ARGENTO,Wine,RNDC
85629,ARGIANO,Wine,RNDC
85629,ARGOSY,Wine,RNDC
85629,ARGOSY PIRATES,Wine,RNDC
85629,ARGUESO,Wine,RNDC
85629,ARIA,Wine,RNDC
85629,ARIA DI CAIAROSSA,Wine,RNDC
85629,ARIANNA,Wine,RNDC
85629,ARINDO,Wine,RNDC
85629,ARINZANO,Wine,RNDC
85629,ARIONE,Wine,RNDC
85629,ARISTA,Wine,RNDC
85629,ARIZONA HARD WITH VODKA,Low Alcohol Beverage,RNDC
85629,ARLAUX,Wine,RNDC
85629,ARMAND DE BRIGNAC,Wine,RNDC
85629,ARNALDO CAPRAI,Wine,RNDC
85629,ARNISTON BAY INFUSIONS,Wine,RNDC
85629,ARPARTADO,Wine,RNDC
85629,ARROGANT FROG,Wine,RNDC
85629,ARROWOOD,Wine,RNDC
85629,ARROYO DEL SOL,Wine,RNDC
85629,ART OF EARTH,Wine,RNDC
85629,ART OF THE COOPER,Wine,RNDC
85629,ARTE LATINO,Wine,RNDC
85629,ARTES DEL SUR,Wine,RNDC
85629,ARTFUL VINE,Wine,RNDC
85629,ARTIE,Wine,RNDC
85629,ARTISAN VINTNERS,Wine,RNDC
